出資元・企業ID,出資元・企業名,company_id,company_name,corporate_number,corporate_name,location,status,number_of_activity,update_date,LocName,lon,lat,iConf,iLvl,count
24056.0,五十嵐電機製作所,24056.0,五十嵐電機製作所,3020001070574,株式会社五十嵐電機製作所,神奈川県川崎市幸区遠藤町４９番地１,-,62,2019-03-20T00:00:00+09:00,神奈川県/川崎市/幸区/遠藤町/４９−１番地,139.69426763439355,35.542312982972824,5.0,8.0,1
3819.0,リスクモンスター,3819.0,リスクモンスター,5010001075531,リスクモンスター株式会社,東京都中央区日本橋２丁目１６番５号,-,13,2022-05-02T00:00:00+09:00,東京都/中央区/日本橋/２丁目/１６番/５号,139.77577519868908,35.68000970179541,5.0,8.0,1
6797.0,東邦ホールディングス,6797.0,東邦ホールディングス,4010901008153,東邦ホールディングス株式会社,東京都世田谷区代沢５丁目２番１号,-,63,2018-07-10T00:00:00+09:00,東京都/世田谷区/代沢/５丁目/２番/１号,139.667035430174,35.65482961538135,5.0,8.0,1
6564.0,日本テクノロジーベンチャーパートナーズ,6564.0,日本テクノロジーベンチャーパートナーズ,1010901026166,株式会社日本テクノロジーベンチャーパートナーズ,東京都世田谷区等々力４丁目１番１号,-,1,2019-08-30T00:00:00+09:00,東京都/世田谷区/等々力/４丁目/１番/１号,139.65311851861932,35.60728458670083,5.0,8.0,1
23916.0,日本貿易振興機構,23916.0,日本貿易振興機構,2010405003693,独立行政法人日本貿易振興機構,東京都港区赤坂１丁目１２番３２号,-,370,2021-02-05T00:00:00+09:00,東京都/港区/赤坂/１丁目/１２番,139.7410286200392,35.66818009825869,5.0,7.0,1
17626.0,アフラック・イノベーション・パートナーズ,17626.0,アフラック・イノベーション・パートナーズ,6010403020258,アフラック・イノベーション・パートナーズ合同会社,東京都港区南青山３丁目１番３１号ＫＤ南青山ビル,-,0,2021-09-03T00:00:00+09:00,東京都/港区/南青山/３丁目/１番,139.71636071490366,35.668079447748035,5.0,7.0,1
6603.0,東京海上日動火災保険,6603.0,東京海上日動火災保険,2010001008824,東京海上日動火災保険株式会社,東京都千代田区大手町２丁目６番４号,-,308,2022-05-13T00:00:00+09:00,東京都/千代田区/大手町/２丁目/６番/４号,139.77070546197848,35.684129102576534,5.0,8.0,1
6269.0,シーアールイー,6269.0,シーアールイー,7010001129517,株式会社シーアールイー,東京都港区虎ノ門２丁目１０番１号,-,54,2020-08-26T00:00:00+09:00,東京都/港区/虎ノ門/２丁目/１０番/１号,139.74520829524985,35.66745029246306,5.0,8.0,1
6464.0,三菱商事,6464.0,三菱商事,5010001008771,三菱商事株式会社,東京都千代田区丸の内２丁目３番１号,-,717,2018-04-17T00:00:00+09:00,東京都/千代田区/丸の内/２丁目/３番/１号,139.76260626852888,35.68114921992423,5.0,8.0,1
10463.0,フィリップス・ジャパン,10463.0,フィリップス・ジャパン,1010401025874,株式会社フィリップス・ジャパン,東京都港区港南２丁目１３番３７号フィリップスビル,-,21,2019-04-25T00:00:00+09:00,東京都/港区/港南/２丁目/１３番/３７号,139.74522987479878,35.628174706118386,5.0,8.0,1
